Fecha;ID Producto;Cantidad;Precio
28/07/2022;562;5;25,00
28/07/2022;510;6;36,00
29/07/2022;532;2;20,00
29/07/2022;544;2;24,00
29/07/2022;536;5;25,00
29/07/2022;580;3;24,00
01/08/2022;532;2;20,00
01/08/2022;544;2;24,00
03/08/2022;536;5;25,00
03/08/2022;580;3;24,00
05/08/2022;514;9;58,50
05/08/2022;548;10;20,00
08/08/2022;540;5;37,50
08/08/2022;560;5;40,00
10/08/2022;516;7;31,50
10/08/2022;530;5;42,50
12/08/2022;518;4;16,00
12/08/2022;524;3;6,00
22/08/2022;520;6;24,00
22/08/2022;580;4;32,00
23/08/2022;510;6;36,00
23/08/2022;532;2;20,00
23/08/2022;544;2;24,00
23/08/2022;536;5;25,00
23/08/2022;580;3;24,00
24/08/2022;522;6;24,00
24/08/2022;510;6;36,00
26/08/2022;562;5;25,00
26/08/2022;510;6;36,00
05/09/2022;532;2;20,00
05/09/2022;544;3;36,00
07/09/2022;536;5;25,00
07/09/2022;580;3;24,00
09/09/2022;514;7;45,50
09/09/2022;548;10;20,00
12/09/2022;540;5;37,50
12/09/2022;560;5;40,00
14/09/2022;516;7;31,50
14/09/2022;530;5;42,50
16/09/2022;518;4;16,00
16/09/2022;524;3;6,00
26/09/2022;520;6;24,00
26/09/2022;542;4;40,00
28/09/2022;522;6;24,00
28/09/2022;510;6;36,00
30/09/2022;562;5;25,00
30/09/2022;510;6;36,00
03/10/2022;532;3;30,00
03/10/2022;544;4;48,00
05/10/2022;536;5;25,00
05/10/2022;542;1;10,00
07/10/2022;514;6;39,00
07/10/2022;548;10;20,00
08/10/2022;580;7;56,00
08/10/2022;522;5;20,00
08/10/2022;524;3;6,00
08/10/2022;530;6;51,00
08/10/2022;540;5;37,50
10/10/2022;540;5;37,50
10/10/2022;560;5;40,00
12/10/2022;516;7;31,50
12/10/2022;530;5;42,50
14/10/2022;518;4;16,00
14/10/2022;524;3;6,00
24/10/2022;520;6;24,00
24/10/2022;542;3;30,00
26/10/2022;522;6;24,00
26/10/2022;510;6;36,00
28/10/2022;562;5;25,00
28/10/2022;510;6;36,00
01/11/2022;532;1;10,00
01/11/2022;544;3;36,00
03/11/2022;536;5;25,00
03/11/2022;542;3;30,00
14/11/2022;514;8;52,00
14/11/2022;548;10;20,00
16/11/2022;540;5;37,50
16/11/2022;560;5;40,00
18/11/2022;516;7;31,50
18/11/2022;530;5;42,50
21/11/2022;518;4;16,00
21/11/2022;524;3;6,00
23/11/2022;520;6;24,00
23/11/2022;542;2;20,00
25/11/2022;522;6;24,00
25/11/2022;510;6;36,00
28/11/2022;562;5;25,00
28/11/2022;510;6;36,00
29/11/2022;518;4;16,00
29/11/2022;524;3;6,00
29/11/2022;520;6;24,00
29/11/2022;542;3;30,00
29/11/2022;522;6;24,00
05/12/2022;532;1;10,00
05/12/2022;544;3;36,00
07/12/2022;536;5;25,00
07/12/2022;542;2;20,00
09/12/2022;514;9;58,50
09/12/2022;548;10;20,00
12/12/2022;540;5;37,50
12/12/2022;560;5;40,00
14/12/2022;516;7;31,50
14/12/2022;530;5;42,50
16/12/2022;518;4;16,00
16/12/2022;524;3;6,00
17/12/2022;576;10;125,00
17/12/2022;578;4;62,00
17/12/2022;580;6;48,00
17/12/2022;568;7;73,50
19/12/2022;520;6;24,00
19/12/2022;542;4;40,00
21/12/2022;522;6;24,00
21/12/2022;510;6;36,00
23/12/2022;562;5;25,00
23/12/2022;510;6;36,00
10/01/2023;510;7;42,00
10/01/2023;514;6;39,00
10/01/2023;516;4;18,00
10/01/2023;580;8;64,00
12/01/2023;580;7;56,00
12/01/2023;516;5;22,50
12/01/2023;580;6;48,00
14/01/2023;522;5;20,00
17/01/2023;524;3;6,00
19/01/2023;530;6;51,00
21/01/2023;536;3;15,00
24/01/2023;540;7;52,50
26/01/2023;580;8;64,00
26/01/2023;576;10;125,00
26/01/2023;578;4;62,00
27/01/2023;580;7;56,00
27/01/2023;568;7;73,50
28/01/2023;580;9;72,00
28/01/2023;580;9;72,00
29/01/2023;576;10;125,00
29/01/2023;542;3;30,00
29/01/2023;548;5;10,00
29/01/2023;560;10;80,00
29/01/2023;572;6;36,00
29/01/2023;574;5;27,50
07/02/2023;542;1;10,00
08/02/2023;548;5;10,00
09/02/2023;560;2;16,00
10/02/2023;566;2;17,00
11/02/2023;576;10;125,00
11/02/2023;578;4;62,00
11/02/2023;580;9;72,00
11/02/2023;568;7;73,50
12/02/2023;576;10;125,00
12/02/2023;578;10;155,00
12/02/2023;580;6;48,00
12/02/2023;568;7;73,50
21/02/2023;568;3;31,50
23/02/2023;570;3;15,00
24/02/2023;572;5;30,00
25/02/2023;574;5;27,50
27/02/2023;580;8;64,00
27/02/2023;518;3;12,00
28/02/2023;580;9;72,00
28/02/2023;520;5;20,00
28/02/2023;530;7;59,50
28/02/2023;540;10;75,00
28/02/2023;542;3;30,00
28/02/2023;548;5;10,00
07/03/2023;576;4;50,00
08/03/2023;578;4;62,00
14/03/2023;580;5;40,00
15/03/2023;510;5;30,00
15/03/2023;580;9;72,00
16/03/2023;514;7;45,50
16/03/2023;580;8;64,00
17/03/2023;516;5;22,50
17/03/2023;580;9;72,00
18/03/2023;518;3;12,00
18/03/2023;580;7;56,00
19/03/2023;520;5;20,00
20/03/2023;530;7;59,50
20/03/2023;540;10;75,00
20/03/2023;542;2;20,00
20/03/2023;548;5;10,00
20/03/2023;560;10;80,00
20/03/2023;572;6;36,00
20/03/2023;574;5;27,50
21/03/2023;568;7;73,50
22/03/2023;580;8;64,00
22/03/2023;580;8;64,00
22/03/2023;576;10;125,00
24/03/2023;520;6;24,00
24/03/2023;580;6;48,00
26/03/2023;522;6;24,00
26/03/2023;510;6;36,00
28/03/2023;562;5;25,00
28/03/2023;510;6;36,00
30/03/2023;544;2;24,00
04/04/2023;532;2;20,00
04/04/2023;544;2;24,00
06/04/2023;536;5;25,00
06/04/2023;580;3;24,00
08/04/2023;514;8;52,00
08/04/2023;548;10;20,00
12/04/2023;540;5;37,50
12/04/2023;560;5;40,00
14/04/2023;516;7;31,50
14/04/2023;530;5;42,50
18/04/2023;518;4;16,00
18/04/2023;524;3;6,00
20/04/2023;520;6;24,00
20/04/2023;580;6;48,00
22/04/2023;522;6;24,00
22/04/2023;510;6;36,00
26/04/2023;562;5;25,00
26/04/2023;510;6;36,00
02/05/2023;532;2;20,00
02/05/2023;544;3;36,00
04/05/2023;536;5;25,00
04/05/2023;580;3;24,00
06/05/2023;514;7;45,50
06/05/2023;548;10;20,00
09/05/2023;540;5;37,50
09/05/2023;560;5;40,00
16/05/2023;516;7;31,50
16/05/2023;530;5;42,50
18/05/2023;518;4;16,00
18/05/2023;524;3;6,00
20/05/2023;520;6;24,00
20/05/2023;580;6;48,00
23/05/2023;522;6;24,00
23/05/2023;510;6;36,00
25/05/2023;562;5;25,00
25/05/2023;510;6;36,00
26/05/2023;532;2;20,00
26/05/2023;544;4;48,00
26/05/2023;536;5;25,00
27/05/2023;580;3;24,00
27/05/2023;514;9;58,50
01/06/2023;532;2;20,00
01/06/2023;544;2;24,00
03/06/2023;536;5;25,00
06/06/2023;580;3;24,00
06/06/2023;514;8;52,00
08/06/2023;548;10;20,00
08/06/2023;540;5;37,50
10/06/2023;560;5;40,00
20/06/2023;516;7;31,50
20/06/2023;530;5;42,50
22/06/2023;518;4;16,00
22/06/2023;524;3;6,00
24/06/2023;520;6;24,00
24/06/2023;580;6;48,00
27/06/2023;522;6;24,00
27/06/2023;510;6;36,00
29/06/2023;562;5;25,00
29/06/2023;510;6;36,00
30/06/2023;576;10;125,00
30/06/2023;578;4;62,00
30/06/2023;532;2;20,00
30/06/2023;544;2;24,00
03/07/2023;532;2;20,00
03/07/2023;544;2;24,00
05/07/2023;536;5;25,00
05/07/2023;580;3;24,00
07/07/2023;514;8;52,00
07/07/2023;548;10;20,00
10/07/2023;540;5;37,50
10/07/2023;560;5;40,00
12/07/2023;516;7;31,50
12/07/2023;530;5;42,50
14/07/2023;518;4;16,00
14/07/2023;524;3;6,00
24/07/2023;520;6;24,00
24/07/2023;580;6;48,00
26/07/2023;522;6;24,00
26/07/2023;510;6;36,00
28/07/2023;562;5;25,00
28/07/2023;510;6;36,00
29/07/2023;532;2;20,00
29/07/2023;544;2;24,00
29/07/2023;536;5;25,00
29/07/2023;580;3;24,00
01/08/2023;532;2;20,00
01/08/2023;544;2;24,00
03/08/2023;536;5;25,00
03/08/2023;580;3;24,00
05/08/2023;514;9;58,50
05/08/2023;548;10;20,00
08/08/2023;540;5;37,50
08/08/2023;560;5;40,00
10/08/2023;516;7;31,50
10/08/2023;530;5;42,50
12/08/2023;518;4;16,00
12/08/2023;524;3;6,00
22/08/2023;520;6;24,00
22/08/2023;580;4;32,00
23/08/2023;510;6;36,00
23/08/2023;532;2;20,00
23/08/2023;544;2;24,00
23/08/2023;536;5;25,00
23/08/2023;580;3;24,00
24/08/2023;522;6;24,00
24/08/2023;510;6;36,00
26/08/2023;562;5;25,00
26/08/2023;510;6;36,00
05/09/2023;532;2;20,00
05/09/2023;544;3;36,00
07/09/2023;536;5;25,00
07/09/2023;580;3;24,00
09/09/2023;514;7;45,50
09/09/2023;548;10;20,00
12/09/2023;540;5;37,50
12/09/2023;560;5;40,00
14/09/2023;516;7;31,50
14/09/2023;530;5;42,50
16/09/2023;518;4;16,00
16/09/2023;524;3;6,00
26/09/2023;520;6;24,00
26/09/2023;542;4;40,00
28/09/2023;522;6;24,00
28/09/2023;510;6;36,00
30/09/2023;562;5;25,00
30/09/2023;510;6;36,00
03/10/2023;532;3;30,00
03/10/2023;544;4;48,00
05/10/2023;536;5;25,00
05/10/2023;542;1;10,00
07/10/2023;514;6;39,00
07/10/2023;548;10;20,00
08/10/2023;580;7;56,00
08/10/2023;522;5;20,00
08/10/2023;524;3;6,00
08/10/2023;530;6;51,00
08/10/2023;540;5;37,50
10/10/2023;540;5;37,50
10/10/2023;560;5;40,00
12/10/2023;516;7;31,50
12/10/2023;530;5;42,50
14/10/2023;518;4;16,00
14/10/2023;524;3;6,00
24/10/2023;520;6;24,00
24/10/2023;542;3;30,00
26/10/2023;522;6;24,00
26/10/2023;510;6;36,00
28/10/2023;562;5;25,00
28/10/2023;510;6;36,00
01/11/2023;532;1;10,00
01/11/2023;544;3;36,00
03/11/2023;536;5;25,00
03/11/2023;542;3;30,00
14/11/2023;514;8;52,00
14/11/2023;548;10;20,00
16/11/2023;540;5;37,50
16/11/2023;560;5;40,00
18/11/2023;516;7;31,50
18/11/2023;530;5;42,50
21/11/2023;518;4;16,00
21/11/2023;524;3;6,00
23/11/2023;520;6;24,00
23/11/2023;542;2;20,00
25/11/2023;522;6;24,00
25/11/2023;510;6;36,00
28/11/2023;562;5;25,00
28/11/2023;510;6;36,00
29/11/2023;518;4;16,00
29/11/2023;524;3;6,00
29/11/2023;520;6;24,00
29/11/2023;542;3;30,00
29/11/2023;522;6;24,00
05/12/2023;532;1;10,00
05/12/2023;544;3;36,00
07/12/2023;536;5;25,00
07/12/2023;542;2;20,00
09/12/2023;514;9;58,50
09/12/2023;548;10;20,00
12/12/2023;540;5;37,50
12/12/2023;560;5;40,00
14/12/2023;516;7;31,50
14/12/2023;530;5;42,50
16/12/2023;518;4;16,00
16/12/2023;524;3;6,00
17/12/2023;576;10;125,00
17/12/2023;578;4;62,00
17/12/2023;580;6;48,00
17/12/2023;568;7;73,50
19/12/2023;520;6;24,00
19/12/2023;542;4;40,00
21/12/2023;522;6;24,00
21/12/2023;510;6;36,00
23/12/2023;562;5;25,00
23/12/2023;510;6;36,00
